Feature,Importance,JoinKey
Age,0.07342777529418736,1
MonthlyIncome,0.07124393094553341,1
DailyRate,0.06403294531472065,1
MonthlyRate,0.05576258093668439,1
TotalWorkingYears,0.055288625768217116,1
HourlyRate,0.051846109772424556,1
DistanceFromHome,0.04492772710517988,1
OverTime,0.03998160100465347,1
YearsAtCompany,0.03874858336056039,1
NumCompaniesWorked,0.036565587805365604,1
TrainingTimesLastYear,0.03498883372718903,1
EnvironmentSatisfaction,0.034012595967389356,1
PercentSalaryHike,0.03320441046625132,1
JobRole,0.029220861985358566,1
YearsWithCurrManager,0.028582151550302207,1
JobInvolvement,0.028310192719742347,1
WorkLifeBalance,0.028271203192378247,1
StockOptionLevel,0.025031189910420325,1
RelationshipSatisfaction,0.024951412460541982,1
JobSatisfaction,0.02478847937225762,1
YearsInCurrentRole,0.024276344397257395,1
YearsSinceLastPromotion,0.023915740982090358,1
EducationField,0.023778309807353834,1
Education,0.023261756365101312,1
MaritalStatus,0.022955000220324664,1
JobLevel,0.01883128031645787,1
BusinessTravel,0.014304511352965569,1
Department,0.010361522104891167,1
Gender,0.009211346805651395,1
PerformanceRating,0.005917388988548707,1
